20:12:58.249131 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:12:59.247527 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:00.245403 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:01.242919 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:09.952695 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:09.953253 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953405 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:09.953868 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953992 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.362396 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:10.362538 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.363450 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:10.363522 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.701208 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:11.449300 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:12.000267 IP 192.168.223.1.57621 > 192.168.223.255.57621: UDP, length 44
20:13:22.641143 ARP, Request who-has 192.168.223.1 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641167 ARP, Request who-has 192.168.223.2 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641169 ARP, Request who-has 192.168.223.3 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641170 ARP, Request who-has 192.168.223.4 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641211 ARP, Request who-has 192.168.223.5 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641268 ARP, Request who-has 192.168.223.6 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641273 ARP, Request who-has 192.168.223.7 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641275 ARP, Request who-has 192.168.223.8 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641281 ARP, Request who-has 192.168.223.9 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641322 ARP, Request who-has 192.168.223.10 (Broadcast) tell 192.168.223.130, length 46
20:13:22.641788 ARP, Reply 192.168.223.2 is-at 00:50:56:fc:bf:19 (oui Unknown), length 46
20:13:22.642701 ARP, Reply 192.168.223.1 is-at 00:50:56:c0:00:08 (oui Unknown), length 46
20:13:22.845145 ARP, Request who-has 192.168.223.3 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845321 ARP, Request who-has 192.168.223.4 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845392 ARP, Request who-has 192.168.223.5 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845439 ARP, Request who-has 192.168.223.6 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845485 ARP, Request who-has 192.168.223.7 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845532 ARP, Request who-has 192.168.223.8 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845578 ARP, Request who-has 192.168.223.9 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845624 ARP, Request who-has 192.168.223.10 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845670 ARP, Request who-has 192.168.223.13 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845685 ARP, Request who-has 192.168.223.14 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845730 ARP, Request who-has 192.168.223.15 (Broadcast) tell 192.168.223.130, length 46
20:13:22.845735 ARP, Request who-has 192.168.223.16 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946175 ARP, Request who-has 192.168.223.13 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946366 ARP, Request who-has 192.168.223.14 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946468 ARP, Request who-has 192.168.223.15 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946523 ARP, Request who-has 192.168.223.16 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946577 ARP, Request who-has 192.168.223.19 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946592 ARP, Request who-has 192.168.223.20 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946595 ARP, Request who-has 192.168.223.21 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946596 ARP, Request who-has 192.168.223.22 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946598 ARP, Request who-has 192.168.223.23 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946600 ARP, Request who-has 192.168.223.24 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946602 ARP, Request who-has 192.168.223.25 (Broadcast) tell 192.168.223.130, length 46
20:13:22.946603 ARP, Request who-has 192.168.223.26 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046558 ARP, Request who-has 192.168.223.19 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046713 ARP, Request who-has 192.168.223.20 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046769 ARP, Request who-has 192.168.223.21 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046816 ARP, Request who-has 192.168.223.22 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046862 ARP, Request who-has 192.168.223.23 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046911 ARP, Request who-has 192.168.223.24 (Broadcast) tell 192.168.223.130, length 46
20:13:23.046958 ARP, Request who-has 192.168.223.29 (Broadcast) tell 192.168.223.130, length 46
20:13:23.047023 ARP, Request who-has 192.168.223.30 (Broadcast) tell 192.168.223.130, length 46
20:13:23.047029 ARP, Request who-has 192.168.223.31 (Broadcast) tell 192.168.223.130, length 46
20:13:23.047030 ARP, Request who-has 192.168.223.32 (Broadcast) tell 192.168.223.130, length 46
20:13:23.049109 ARP, Request who-has 192.168.223.25 (Broadcast) tell 192.168.223.130, length 46
20:13:23.049198 ARP, Request who-has 192.168.223.26 (Broadcast) tell 192.168.223.130, length 46
20:13:23.146968 ARP, Request who-has 192.168.223.29 (Broadcast) tell 192.168.223.130, length 46
